No,Student ID,Midterm,Final,Lab,Bonus
1,19125000,8,6,10,9
2,19125001,5,9,10,7
3,19125002,6,10,5,8
4,19125003,7,5,9,8
5,19125004,9,5,10,7
6,19125005,5,6,10,6
7,19125006,8,5,7,6
8,19125007,8,10,6,6
9,19125008,10,7,9,9
10,19125009,7,10,6,8
11,19125010,7,8,9,5
12,19125011,8,10,7,9
13,19125012,7,5,10,7
14,19125013,9,7,9,7
15,19125014,6,9,5,10
16,19125015,9,7,7,10
17,19125016,7,8,8,5
18,19125017,5,10,8,5
19,19125018,8,7,7,9
20,19125019,7,10,8,5
21,19125020,10,8,6,10
22,19125021,9,8,5,8
23,19125022,8,6,9,10
24,19125023,6,7,8,10
25,19125024,9,7,6,7
26,19125025,6,8,10,8
27,19125026,5,9,6,6
28,19125027,5,9,6,6
29,19125028,7,7,6,7
30,19125029,7,7,10,6
31,19125030,10,5,7,9
32,19125031,9,8,9,6
33,19125032,5,7,5,7
34,19125033,7,7,6,5
35,19125034,8,10,7,7
36,19125035,6,8,5,6
37,19125036,9,9,5,9
38,19125037,8,10,7,9
39,19125038,10,8,6,5
40,19125039,5,5,10,9
41,19125040,10,7,5,9
42,19125041,8,9,6,5
43,19125042,8,9,7,7
44,19125043,9,9,9,8
45,19125044,7,9,9,10
46,19125045,8,10,7,6
47,19125046,9,10,8,9
48,19125047,9,6,10,10
49,19125048,5,10,9,10
50,19125049,5,7,9,7
